XeroKeySupply,XeroKeySupplyAndInstall,Supplier,Brand Name,Product Name,Application,R-Value,Thickness (mm),Length (mm),Width (mm),Coverage/Unit ,Coverage Unit,Unit,Pack Unit,Pieces/Unit,Units/pack,Coverage/pack,Density (kg/m³),Cost/Coverage Unit,Cost/Unit,Cost/Pack,S Cost/Unit,S+I Timber/Coverage Unit,S+I Steel/Coverage Unit,Retrofit (existing ceiling) S+I/Coverage Unit,Subfloor S+I/Coverage Unit,Retrofit (Subfloor) S+I/Coverage Unit,Notes,Keywords
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R7.0,285,1160,580,3.36,m²,Bag,Bale,5,8,26.88,13.5,14.15,47.58,,71,25,26,32,,,5 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R7.0,285,1160,430,2.49,m²,Bag,Bale,5,8,19.92,13.5,14.15,35.28,,53,25,26,32,,,5 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R6.0,278,1160,580,4.71,m²,Bag,Bale,7,8,37.68,9,9.33,43.93,,66,15.3,16.3,26,,,7 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R6.0,278,1160,430,2.99,m²,Bag,Bale,6,8,23.92,9,9.33,27.92,,42,15.3,16.3,26,,,6 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R5.0,230,1160,580,5.38,m²,Bag,Bale,8,8,43.04,9.5,8.06,43.36,,65,13.9,14.9,22,,,8 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R5.0,230,1160,430,3.99,m²,Bag,Bale,8,8,31.92,9.5,8.06,32.15,,48,13.9,14.9,22,,,8 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R4.1,195,1160,580,7.4,m²,Bag,Bale,11,8,59.2,8.5,5.89,43.62,,65,11.1,12.1,18,20,33,11 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R4.1,195,1160,430,5.99,m²,Bag,Bale,12,8,47.92,8.5,5.89,35.28,,53,11.1,12.1,18,20,33,12 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R3.5,165,1160,580,8.07,m²,Bag,Bale,12,8,64.56,8.5,4.92,39.72,,59,10,11,17,18.5,29,12 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R3.5,165,1160,430,6.98,m²,Bag,Bale,14,8,55.84,8.5,4.92,34.36,,52,10,11,17,18.5,29,14 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R3.0,145,1160,580,10.09,m²,Bag,Bale,15,8,80.72,8.5,4.28,43.24,,64,9.5,10.5,16,17.5,28,15 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R3.0,145,1160,430,9.48,m²,Bag,Bale,19,8,75.84,8.5,4.28,40.61,,60,9.5,10.5,16,17.5,28,19 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R2.5,120,1160,580,12.78,m²,Bag,Bale,19,8,102.24,8.5,3.76,48.09,,72,9,10,15,16.5,26,19 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R2.5,120,1160,430,9.48,m²,Bag,Bale,19,8,75.84,8.5,3.76,35.65,,53,9,10,15,16.5,26,19 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R2.0,90,1160,580,14.13,m²,Bag,Bale,21,8,113.04,10,3.15,44.46,,66,8,9,,15.5,24,21 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Thermal Ceiling & Floor Batt,Bulk Insulation,R2.0,90,1160,430,10.47,m²,Bag,Bale,21,8,83.76,10,3.15,32.96,,49,8,9,,15.5,24,21 pcs/pack,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Subfloor, Underfloor, Retrofit"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R3.1NB,110,1160,430,3.5,m²,Bag,Bale,7,8,28,24,13.48,63.48,,70,23,24,,,,Acoustic,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R3.1NB,110,1160,580,4.69,m²,Bag,Bale,7,8,37.52,24,13.48,47.06,,95,23,24,,,,Acoustic,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R2.7NB,90,1160,430,4,m²,Bag,Bale,7,8,32,32,10.81,50.93,,65,16.9,17.9,,,,"Acoustic, HD","Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R2.7NB,90,1160,580,4.69,m²,Bag,Bale,8,8,37.52,32,10.81,43.15,,76,16.9,17.9,,,,"Acoustic, HD","Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R2.5HD,90,1160,580,7.4,m²,Bag,Bale,11,8,59.2,20,6.1,45.14,,68,11.1,12.1,,,,High Density,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R2.5HD,90,1160,430,9.98,m²,Bag,Bale,11,8,79.84,20,6.1,33.46,,50,11.1,12.1,,,,High Density,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R2.5NB,90,1160,430,4.5,m²,Bag,Bale,9,8,36,24,10.15,61.45,,,,,,,,Acoustic,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
,,PGF,Ecowool,Acoustic Floor & Wall Batt,Bulk Insulation,R2.5NB,90,1160,580,6.03,m²,Bag,Bale,9,8,48.24,24,10.15,45.55,,,,,,,,Acoustic,"Bulk Insulation, PGF, Ecowool, Batt, Bulk,Ceiling, Floor, Wall, Acoustic, HD"
